Kommunenavn ,Fornavn ,Efternavn ,Parti ,Periode,Indbyggertal
Græsted-Gilleleje ,Svend Aage ,Nielsen ,Socialdemokratiet ,1982-1989 
Græsted-Gilleleje ,Jannich ,Petersen ,Venstre ,1990-2006 
Gråsten ,Anton Andresen ,Matthiesen ,Det Konservative Folkeparti ,1970-1981 
Gråsten ,Uwe ,Nannsen ,Socialdemokratiet ,1982-1989 
Gråsten ,Peter ,Brodersen ,Venstre ,1990-1993 
Gråsten ,Bendt ,Olesen ,Socialdemokratiet ,1994-2006 
Gudme ,Ejnar ,Freltofte ,Venstre ,1970-1974 
Gudme ,Johannes ,Rosager ,Venstre ,1974-1978 
Gudme ,Hans Jørgen ,Bindzus ,Venstre ,1978-1988 
Gudme ,Erik ,Ullemose ,Venstre ,1988-2001 
Gudme ,Lars Erik ,Hornemann ,Venstre ,2002-2006 
Guldborgsund ,Kaj ,Petersen ,Socialdemokratiet ,2007-2009 
Guldborgsund ,John ,Brædder ,Lokalliste ,2010- 
Gundsø ,Aksel ,Skotte ,Venstre ,1970-1974 
Gundsø ,Aksel ,Pedersen ,Venstre ,1974-1981 
Gundsø ,Eskil ,Nielsen ,Venstre ,1982-1985 
Gundsø ,Arne ,Sloth ,Det Konservative Folkeparti ,1986-1989 
Gundsø ,Erling ,Bjergbakke ,Socialdemokratiet ,1990-1993 
Gundsø ,Jens ,M√ºller ,Det Konservative Folkeparti ,1994-2001 
Gundsø ,Evan ,Lynnerup ,Venstre ,2002-2006 
Gørlev ,Jens Peder ,Pedersen ,Venstre ,1970-1974 
Gørlev ,Vagn ,Weensgaard ,Venstre ,1974-1985 
Gørlev ,Jørgen ,Arnam-Olsen ,Venstre ,1986-1989 
Gørlev ,Kaj ,Haagensen ,Socialdemokratiet ,1990-1993 
Gørlev ,Jørgen ,Arnam-Olsen ,Venstre ,1994-2006 
Haderslev ,Hans Christian ,Carstensen ,Det Konservative Folkeparti ,1970-1981 
Haderslev ,Kurt ,Dørflinger ,Socialdemokratiet ,1982-1989 
Haderslev ,Gunnar ,Nielsen ,Det Konservative Folkeparti ,1990-1993 
Haderslev ,Karen ,From ,Venstre ,1994-2001 
Haderslev ,Jens Christian ,Gjesing ,Socialdemokratiet ,2002-2006 
Haderslev ,Hans Peter ,Geil ,Venstre ,2007-2009 
Haderslev ,Jens Chr. ,Gjesing ,Socialdemokratiet ,2010-2013 
Haderslev ,Hans Peter ,Geil ,Venstre ,2014- 
Hadsten ,Henning ,Nielsen ,Venstre ,1970-1981 
Hadsten ,Laurids Leth ,Laursen ,Det Konservative Folkeparti ,1981-1989 
Hadsten ,Carl Johan ,Rasmussen ,Socialdemokratiet ,1989-1993 
Hadsten ,Niels ,Pape ,Venstre ,1994-1997 
Hadsten ,Anna-Grethe ,Dahl ,Socialdemokratiet ,1998-2001 
Hadsten ,Anders G. ,Christensen ,Venstre ,2002-2006 
Hadsund ,Tage ,Jespersen ,Lokalliste ,1970-1985 
Hadsund ,Lau ,Jensen ,Socialdemokratiet ,1986-1993 
Hadsund ,Jens Erik ,Bech ,Socialdemokratiet ,1994-1995 
Hadsund ,Karl ,Christensen ,Socialdemokratiet ,1995-2006 
Hals ,Karl Evald ,Søndergaard ,Venstre ,1970-1974 
Hals ,Bernhard Møller ,Jensen ,Venstre ,1974-1988 
Hals ,Evald ,Martinsen ,Venstre ,1988-1997 
Hals ,Bent ,Sørensen ,Socialdemokratiet ,1998-2006 
Halsnæs ,Helge ,Friis ,Socialdemokratiet ,2007-2013 
Halsnæs ,Steen ,Hasselriis ,Venstre ,2014 -2017 
Halsnæs ,Steffen ,Jensen ,Socialdemokratiet ,2018- 
Hammel ,Peder Højgaard ,Therkelsen ,Venstre ,1970-1981 
Hammel ,Gunnar ,Severinsen ,Venstre ,1982-1989 
Hammel ,Niels Erik ,Nielsen ,Socialdemokratiet ,1990-2001 
Hammel ,Ole ,Brøkner ,Det Konservative Folkeparti ,2002-2006 
Hanstholm ,Christian ,Hansen ,Socialdemokratiet ,1970-1985 
Hanstholm ,Verner ,Gregersen ,Venstre ,1986-1990 
Hanstholm ,Aase ,Jensen ,Det Konservative Folkeparti ,1990-1993 
Hanstholm ,Per ,Kristensen ,Lokalliste ,1994-1997 
Hanstholm ,Aase ,Jensen ,Det Konservative Folkeparti ,1998-2001 
Hanstholm ,Ejner ,Frøkjær ,Socialdemokratiet ,2002-2006 
Hashøj ,Carl A. ,Christiansen ,Venstre ,1970-1978 
Hashøj ,Frede ,Pedersen ,Venstre ,1978-1991 
Hashøj ,Poul ,Jeppesen ,Venstre ,1991-1993 
Hashøj ,Niels O. ,Pedersen ,Socialdemokratiet ,1994-2001 
Hashøj ,Troels ,Christensen ,Venstre ,2002-2006 
Hasle ,Else ,Larsen ,Socialdemokratiet ,1970-1974 
Hasle ,Svend ,Rasmussen ,Socialdemokratiet ,1974-1985 
Hasle ,Knud ,Andersen ,Venstre ,1986-1989 
Hasle ,Frede ,Engell-Hansen ,Socialdemokratiet ,1990-1993 
Hasle ,Birgit ,Rasmussen ,Lokalliste ,1994-2000 
Hasle ,Bjarne ,Kristiansen ,Lokalliste ,2000-2006 
Haslev ,Folmer ,Nielsen ,Venstre ,1970-1974 
Haslev ,Ib Nordahl ,Pedersen ,Socialdemokratiet ,1974-1993 
Haslev ,Oluf ,Christensen ,Socialdemokratiet ,1994-2001 
Haslev ,Henrik ,Christensen ,Venstre ,2002-2006 
Hedensted ,Hans ,Axelsen ,Det Konservative Folkeparti ,1970-1974 
Hedensted ,Helge ,Nielsen ,Venstre ,1974-1993 
Hedensted ,Kaj ,Larsen ,Det Konservative Folkeparti ,1994-1997 
Hedensted ,Jørn Juhl ,Nielsen ,Socialdemokratiet ,1998-2006 
Hedensted ,Jørn Juel ,Nielsen ,Socialdemokratiet ,2007-2009 
Hedensted ,Kirsten ,Terkilsen ,Venstre ,2010-2017 
Hedensted ,Kasper ,Glyngø ,Socialdemokratiet ,2018- 
Helle ,Axel ,Hansen ,Lokalliste ,1974-1978 
Helle ,Jens ,Klit ,Lokalliste ,1978-1989 
Helle ,Eva ,Frandsen ,Venstre ,1990-1997 
Helle ,Gylling ,Haahr ,Venstre ,1998-2006 
Helsinge ,Christian ,Grønkjær ,Venstre ,1970-1978 
Helsinge ,Thor ,Pedersen ,Venstre ,1978-1986 
Helsinge ,Claus ,Lange ,Venstre ,1986-1997 
Helsinge ,Flemming ,Møller ,Socialistisk Folkeparti ,1998-2001 
Helsinge ,Claus ,Lange ,Venstre ,2002-2006 
Helsingør ,Ove ,Thelin ,Socialdemokratiet ,1970-1985 
Helsingør ,Knud ,Axelsen ,Socialdemokratiet ,1986-1993 
Helsingør ,Per ,Tærsbøl ,Det Konservative Folkeparti ,1994-2009 
Helsingør ,Johannes ,Hect-Nielsen ,Venstre ,2010-2013 
Helsingør ,Benedikte ,Kiær ,Det Konservative Folkeparti ,2014- 
Herlev ,Ib ,Juul ,Socialdemokratiet ,1970-1996 
Herlev ,Kjeld ,Hansen ,Socialdemokratiet ,1996-2011 
Herlev ,Thomas Gyldal ,Petersen ,Socialdemokratiet ,2011- 
Herning ,Jens ,Mathiasen ,Venstre ,1970-1975 
Herning ,Niels Ove ,Hansen ,Venstre ,1975-1989 
Herning ,Hilmar ,Sølund ,Socialdemokratiet ,1990-1997 
Herning ,Helge ,Sander ,Venstre ,1998-2001 
Herning ,Lars ,Krarup ,Venstre ,2002-2006 
Herning ,Lars ,Krarup ,Venstre ,2007- 
Hillerød ,Toke ,Stokholm ,Det Konservative Folkeparti ,1970-1985 
Hillerød ,Jens S. ,Jensen ,Socialdemokratiet ,1986-1993 
Hillerød ,Valborg ,Sandberg ,Venstre ,1994-1997 
Hillerød ,Jens S. ,Jensen ,Socialdemokratiet ,1998-2000 
Hillerød ,Nick ,Hækkerup ,Socialdemokratiet ,2000-2006 
Hillerød ,Nick ,Hækkerup ,Socialdemokratiet ,2007-2007 
Hillerød ,Kirsten ,Jensen ,Socialdemokratiet ,2007-2013 
Hillerød ,Dorte ,Meldgaard ,Det Konservative Folkeparti ,2014-2017 
Hillerød ,Kirsten ,Jensen ,Socialdemokratiet ,2018- 
Hinnerup ,Sigurd ,Nysten ,Lokalliste ,1970-1974 
Hinnerup ,Leif ,Hansgaard ,Venstre ,1974-1978 
Hinnerup ,Vilhelm ,Lytken ,Socialdemokratiet ,1978-1993 
Hinnerup ,Niels ,Berg ,Venstre ,1994-2006 
Hirtshals ,Jacob ,Olesen ,Lokalliste ,1970-1978 
Hirtshals ,Knud ,Størup ,Lokalliste ,1978-2006 
Hjørring ,Harris ,Troensegaard ,Det Konservative Folkeparti ,1970-1974 
Hjørring ,Poul S. ,Poulsen ,Venstre ,1974-1984 
Hjørring ,Else ,Købstrup ,Venstre ,1984-1989 
Hjørring ,Poul ,Dalsager ,Socialdemokratiet ,1990-1995 
Hjørring ,Bent ,Brown ,Socialdemokratiet ,1995-2006 
Hjørring ,Finn ,Olesen ,Socialdemokratiet ,2007-2009 
Hjørring ,Arne ,Boelt ,Socialdemokratiet ,2010- 
Hobro ,Kristen ,Schultz ,Venstre ,1970-1985 
Hobro ,Erlann ,Christiansen ,Socialdemokratiet ,1986-2002 
Hobro ,Jørgen ,Pontoppidan ,Venstre ,2002-2006 
Holbæk ,Arnold ,Sørensen ,Det Radikale Venstre ,1970-1985 
Holbæk ,Bent ,Kristiansen ,Socialdemokratiet ,1986-1993 
Holbæk ,Jørn ,Sørensen ,Det Radikale Venstre ,1994-2006 
Holbæk ,Jørn ,Sørensen ,Radikale Venstre ,2007-2009 
Holbæk ,Søren ,Kjærsgård ,Venstre ,2010-2017 
Holbæk ,Christina K. ,Hansen ,Socialdemokratiet ,2018- 
Holeby ,Svend ,Christiansen ,Socialdemokratiet ,1970-1974 
Holeby ,Fridtjof ,Nielsen ,Socialdemokratiet ,1974-1997 
Holeby ,Bjarne ,Larsen ,Lokalliste ,1998-2006 
Holmegård ,Carl Lauris ,Hansen ,Socialdemokratiet ,1970-1974 
Holmegård ,Kaj ,Larsen ,Socialdemokratiet ,1974-1992 
Holmegård ,Ove ,Larsen ,Socialdemokratiet ,1992-2004 
Holmegård ,Søren ,Dysted ,Socialdemokratiet ,2004-2006 
Holmsland ,Kristian ,Enevoldsen ,Lokalliste ,1970-1986 
Holmsland ,Jens Christian ,Frandsen ,Lokalliste ,1986-1989 
Holmsland ,Hans ,Thomsen ,Lokalliste ,1990-1997 
Holmsland ,Iver ,Enevoldsen ,Lokalliste ,1998-2006 
Holstebro ,Kaj K. ,Nielsen ,Socialdemokratiet ,1970-1981 
Holstebro ,Arthur J. S. C. ,Jensen ,Socialdemokratiet ,1982-1985 
Holstebro ,Kurt ,Nygaard ,Socialdemokratiet ,1986-1989 
Holstebro ,Anders ,Poulsen ,Venstre ,1990-1993 
Holstebro ,Kurt ,Nygaard ,Socialdemokratiet ,1994-2001 
Holstebro ,Arne ,Lægaard ,Venstre ,2002-2006 
Holstebro ,Arne ,Lægaard ,Venstre ,2007-2009 
Holstebro ,H. C. ,Østerby ,Socialdemokratiet ,2010- 
Holsted ,Finn ,Riber ,Venstre ,1970-1974 
Holsted ,Hans O. ,Hansen ,Venstre ,1974-1994 
Holsted ,Peter ,Sørensen ,Venstre ,1994-1995 
Holsted ,Carl ,Aaskov ,Venstre ,1995-2006 
Horsens ,Ove ,Jensen ,Socialdemokratiet ,1970-1972 
Horsens ,Holger ,Sørensen ,Socialdemokratiet ,1972-1985 
Horsens ,Henning ,Jensen ,Socialdemokratiet ,1986-1993 
Horsens ,Vagn Ry ,Nielsen ,Socialdemokratiet ,1994-2006 
Horsens ,Jan ,Trøjborg ,Socialdemokratiet ,2007-2012 
Horsens ,Peter ,Sørensen ,Socialdemokratiet ,2012- 
Hundested ,Bent Ove ,Sørensen ,Socialdemokratiet ,1970-1972 
Hundested ,Ingemann ,Andersen ,Socialdemokratiet ,1972-1985 
Hundested ,Bent Ove ,Sørensen ,Socialdemokratiet ,1986-1997 
Hundested ,Hans ,Schwennesen ,Socialdemokratiet ,1997-2006 
Hvalsø ,Kristian ,Nielsen ,Socialdemokratiet ,1970-1981 
Hvalsø ,Ole ,Jørgensen ,Venstre ,1982-1989 
Hvalsø ,Hilmer ,Fenger ,Socialdemokratiet ,1990-1997 
Hvalsø ,Virginia ,Holst ,Venstre ,1998-2006 
Hvidebæk ,Aksel ,Brøndsted ,Lokalliste ,1970-1985 
Hvidebæk ,Ole P. ,Nielsen ,Lokalliste ,1986-1997 
Hvidebæk ,Henning ,Fougt ,Venstre ,1998-2006 
Hvidovre ,Svend ,Aagesen ,Socialdemokratiet ,1970-1979 
Hvidovre ,Inge ,Larsen ,Socialdemokratiet ,1979-1993 
Hvidovre ,Britta ,Christensen ,Socialdemokratiet ,1993-2007 
Hvidovre ,Milton Graff ,Pedersen ,Socialdemokratiet ,2007-2012 
Hvidovre ,Helle M. ,Adelborg ,Socialdemokratiet ,2012- 
Hvorslev ,Laurs ,Petersen ,Venstre ,1970-1974 
Hvorslev ,Holger ,Mikkelstrup ,Venstre ,1974-1981 
Hvorslev ,Rasmus ,Christensen ,Venstre ,1982-1993 
Hvorslev ,Per ,Søndergård ,Venstre ,1994-2001 
Hvorslev ,Kurt ,Andreassen ,Venstre ,2002-2006 
Højer ,Poul C. G. ,Jørgensen ,Socialdemokratiet ,1970-1978 
Højer ,Knud ,Hansen ,Venstre ,1978-2001 
Højer ,Peter ,Christensen ,Socialdemokratiet ,2002-2006 
Høje-Taastrup ,Flemming ,Jensen ,Det Konservative Folkeparti ,1970-1978 
Høje-Taastrup ,Per Søndergård ,Sørensen ,Socialdemokratiet ,1978-1981 
Høje-Taastrup ,Flemming ,Jensen ,Det Konservative Folkeparti ,1982
Høje-Taastrup ,Ebbe ,Korvin ,Det Konservative Folkeparti ,1982-1983 
Høje-Taastrup ,Laurids ,Christensen ,Det Konservative Folkeparti ,1983-1985 
Høje-Taastrup ,Anders ,Bak ,Socialdemokratiet ,1986-2005 
Høje-Taastrup ,Michael ,Ziegler ,Det Konservative Folkeparti ,2006- 
Højreby ,Ove ,Jørgensen ,Venstre ,1970-1978 
Højreby ,Helge ,Paaske ,Det Radikale Venstre ,1978-1981 
Højreby ,Hans W. ,Nielsen ,Det Konservative Folkeparti ,1982-1985 
Højreby ,Erik ,Nielsen ,Socialdemokratiet ,1986-1991 
Højreby ,Poul Erik ,Ibsen ,Socialdemokratiet ,1991-2001 
Højreby ,Jytte ,Krag-Juel-Vind-Frijs ,Venstre ,2002-2006 
Høng ,Jens ,Carlsen ,Venstre ,1970-1974 
Høng ,Bent ,Belling ,Venstre ,1974-1977 
Høng ,Niels Baunegaard ,Nielsen ,Lokalliste ,1977-1997 
Høng ,Ingvar ,Jensen ,Lokalliste ,1998-2006 
Hørning ,Svend ,Borgbjerg ,Venstre ,1970-1974 
Hørning ,H. ,Kolby-Larsen ,Venstre ,1974-1985 
Hørning ,Carsten ,Jacobsen ,Socialdemokratiet ,1986-2001 
Hørning ,Søren Erik ,Pedersen ,Venstre ,2001-2006 
Hørsholm ,Sven ,Jørgensen ,Det Konservative Folkeparti ,1970-1974 
Hørsholm ,Lulla ,Lucas ,Det Konservative Folkeparti ,1974-1975 
Hørsholm ,Ove ,Sundberg ,Det Konservative Folkeparti ,1975-1988 
Hørsholm ,Hanne ,Falkensteen ,Det Konservative Folkeparti ,1988-2001 
Hørsholm ,Uffe ,Thorndal ,Det Konservative Folkeparti ,2001-2009 
Hørsholm ,Morten ,Slotved ,Det Konservative Folkeparti ,2010- 
Hårby ,Viggo L. ,Andersen ,Venstre ,1970-1981 
Hårby ,Børge ,Jensen ,Venstre ,1982-1997 
Hårby ,Ole ,Møller ,Det Konservative Folkeparti ,1998-2006 
Ikast ,Ole ,Poulsen ,Det Konservative Folkeparti ,1970-1978 
Ikast ,Thomas ,Poulsen ,Venstre ,1978-1989 
Ikast ,Kjeld Broberg ,Lind ,Venstre ,1990-2001 
Ikast ,Carsten ,Kissmeyer ,Venstre ,2002-2006 
Ikast-Brande ,Carsten ,Kissmeyer ,Venstre ,2007-2017 
Ikast-Brande ,Ib ,Lauritsen ,Venstre ,2018- 
Ishøj ,Kai ,Laursen ,Socialdemokratiet ,1970-1974 
Ishøj ,Per ,Madsen ,Socialdemokratiet ,1974-2001 
Ishøj ,Ole ,Bjørstorp ,Socialdemokratiet ,2001- 
Jammerbugt ,Mogens Chrisitan ,Gade ,Venstre ,2007- 
Jelling ,Karlo ,Søndergaard ,Lokalliste ,1970-1981 
Jelling ,Johannes ,Baagø ,Venstre ,1982-1987 
Jelling ,Henning ,Dalengaard ,Socialdemokratiet ,1987-1993 
Jelling ,Niels ,Kjærgaard ,Venstre ,1994-2001 
Jelling ,Arne H. ,Sigtenbjerggaard ,Venstre ,2002-2006 
Jernløse ,Otto ,Jensen ,Venstre ,1970-1974 
Jernløse ,Hans Ole ,Jørgensen ,Venstre ,1974-1985 
Jernløse ,Leif ,Pedersen ,Lokalliste ,1986-1989 
Jernløse ,Hans Ole ,Jørgensen ,Venstre ,1990-2001 
Jernløse ,Annica ,Granstrøm ,Venstre ,2002-2006 
Juelsminde ,Harald ,Christensen ,Venstre ,1970-1981 
Juelsminde ,Jørn Bjerre ,Rasmussen ,Det Konservative Folkeparti ,1982-2001 
Juelsminde ,Jørgen ,Harfeld ,Venstre ,2002-2003 
Juelsminde ,Peter Schmidt ,Hansen ,Venstre ,2003-2006 
Jægerspris ,Karl ,Johansen ,Socialdemokratiet ,1970-1988 
Jægerspris ,Poul ,Madsen ,Socialdemokratiet ,1988-1997 
Jægerspris ,Ole Find ,Jensen ,Socialdemokratiet ,1998-2006 
Kalundborg ,Jørgen ,Petersen ,Det Konservative Folkeparti ,1970-1978 
Kalundborg ,Chr. Aage ,Brejnrod ,Socialdemokratiet ,1978-1989 
Kalundborg ,Arne ,Nielsen ,Socialdemokratiet ,1990-1998 
Kalundborg ,Gitte Høgh ,Frejbæk ,Socialdemokratiet ,1998-2001 
Kalundborg ,Tommy ,Dinesen ,Socialistisk Folkeparti ,2002-2006 
Kalundborg ,Tommy ,Dinesen ,Socialistisk Folkeparti ,2007-2008 
Kalundborg ,Kaj Buch ,Jensen ,Socialdemokratiet ,2008-2009 
Kalundborg ,Martin ,Damm ,Venstre ,2010- 
Karlebo ,Karen ,Møller ,Venstre ,1970-1974 
Karlebo ,Jørgen ,Jensen ,Socialdemokratiet ,1974-1978 
Karlebo ,Henry ,Hansen ,Venstre ,1978-2001 
Karlebo ,Olav ,Aaen ,Venstre ,2002-2006 
Karup ,Karl ,Bitsch ,Venstre ,1970-1979 
Karup ,Ove ,Svane ,Det Konservative Folkeparti ,1979-1981 
Karup ,Jens Erik ,Lyngsø ,Venstre ,1982-1989 
Karup ,Kjeld ,Merstrand ,Socialdemokratiet ,1990-1993 
Karup ,Ivan ,Rasmussen ,Venstre ,1994-1997 
Karup ,Svend ,Jørgensen ,Venstre ,1998-2001 
Karup ,Kjeld ,Merstrand ,Socialdemokratiet ,2002-2006 
Kerteminde ,Peter Møller ,Olsen ,Socialdemokratiet ,1970-1974 
Kerteminde ,Jens A. Wistoft ,Larsen ,Venstre ,1974-1985 
Kerteminde ,Gunnar ,Rasmussen ,Socialdemokratiet ,1986-1991 
Kerteminde ,Jacob P. ,Dauerhøj ,Socialdemokratiet ,1991-2001 
Kerteminde ,Else ,Møller ,Det Konservative Folkeparti ,2002-2006 
Kommunenavn ,Fornavn ,Efternavn ,Parti ,Periode 
Kerteminde ,Palle ,Hansborg-Sørensen ,Socialdemokratiet ,2007-2009 
Kerteminde ,Sonja ,Rasmussen ,Lokalliste ,2010-2013 
Kerteminde ,Hans ,Luunbjerg ,Venstre ,2014-2017 
Kerteminde ,Kasper Ejsing ,Olesen ,Socialdemokratiet ,2018- 
Kjellerup ,Svend ,Winther ,Det Konservative Folkeparti ,1970-1978 
Kjellerup ,Knud ,Sørensen ,Venstre ,1978-1985 
Kjellerup ,Svend ,Winther ,Det Konservative Folkeparti ,1986-1989 
Kjellerup ,Jens Jørgen ,Besser ,Socialdemokratiet ,1990-1997 
Kjellerup ,Hans-Jørgen ,Hørning ,Venstre ,1998-2006 
Kolding ,Peter ,Ravn ,Socialdemokratiet ,1970-1977 
Kolding ,Bent ,Rasmussen ,Socialdemokratiet ,1977-1985 
Kolding ,Per Bødker ,Andersen ,Socialdemokratiet ,1985-2006 
Kolding ,Per Bødker ,Andersen ,Socialdemokratiet ,2007-2009 
Kolding ,Jørn ,Pedersen ,Venstre ,2010- 
Korsør ,Poul Hvidtfeldt ,Larsen ,Socialdemokratiet ,1970-1978 
Korsør ,Povl ,Mortensen ,Socialdemokratiet ,1978-1991 
Korsør ,Flemming Aarup ,Erichsen ,Socialdemokratiet ,1991-2006 
København ,Urban ,Hansen ,Socialdemokratiet ,1970-1976 
København ,Egon ,Weidekamp ,Socialdemokratiet ,1976-1989 
København ,Jens ,Kramer Mikkelsen ,Socialdemokratiet ,1989-2004 
København ,Engberg ,Lars ,Socialdemokratiet ,2004-2005 
København ,Ritt ,Bjerregaard ,Socialdemokratiet ,2006-2009 
København ,Frank ,Jensen ,Socialdemokratiet ,2010- 
Køge ,Øge ,Sund ,Socialdemokratiet ,1970-1974 
Køge ,Jørgen ,Jørgensen ,Socialdemokratiet ,1974-1992 
Køge ,Willi ,Eliasen ,Socialdemokratiet ,1992-2001 
Køge ,Torben ,Hansen ,Socialdemokratiet ,2002-2006 
Køge ,Torben ,Hansen ,Socialdemokratiet ,2007-2007 
Køge ,Marie ,Stærke ,Socialdemokratiet ,2007-2013 
Køge ,Flemming ,Christensen ,Det Konservative Folkeparti ,2014-2017 
Køge ,Marie ,Stærke ,Socialdemokratiet ,2018- 
Langebæk ,Julius ,Jensen ,Socialdemokratiet ,1970-1981 
Langebæk ,Poul ,Christensen ,Socialdemokratiet ,1981-1984 
Langebæk ,Jens Engelhardt ,Jensen ,Socialdemokratiet ,1984-1993 
Langebæk ,Geert A. ,Nielsen ,Socialdemokratiet ,1994-2001 
Langebæk ,Henrik ,Holmer ,Socialdemokratiet ,2002-2006 
Langeland ,Knud ,Gether ,Lokalliste ,2007-2009 
Langeland ,Bjarne ,Nielsen ,Venstre ,2010-2017 
Langeland ,Tonni ,Hansen ,Socialistisk Folkeparti ,2018- 
Langeskov ,Carl Erik ,Jepsen ,Socialdemokratiet ,1970-1985 
Langeskov ,Ejvind Høyer ,Nielsen ,Det Konservative Folkeparti ,1986-2006 
Langå ,Arnold ,Daugaard ,Venstre ,1970-1971 
Langå ,Kurt ,Holting ,Socialdemokratiet ,1971-1979 
Langå ,Leon ,Laursen ,Socialdemokratiet ,1979-1981 
Langå ,Mette ,Langer ,Venstre ,1982-1988 
Langå ,Niels ,Mørup ,Venstre ,1988-1989 
Langå ,Kaj Møldrup ,Christensen ,Socialdemokratiet ,1990-2001 
Langå ,Hanne ,Nielsen ,Socialdemokratiet ,2002-2006 
Ledøje-Smørum ,Eigil ,Paulsen ,Venstre ,1970-1978 
Ledøje-Smørum ,Elin ,Jakobsen ,Det Konservative Folkeparti ,1978-1985 
Ledøje-Smørum ,John ,Petersen ,Venstre ,1986-1997 
Ledøje-Smørum ,Jens Jørgen ,Nygaard ,Det Konservative Folkeparti ,1998-2006 
Lejre ,Evan ,Jensen ,Venstre ,1970-2001 
Lejre ,Jens Hald ,Madsen ,Venstre ,2002-2006 
Lejre ,Flemming ,Jensen ,Venstre ,2007-2009 
Lejre ,Mette ,Touborg ,Socialistisk Folkeparti ,2010-2016 
Lejre ,Carsten ,Rasmussen ,Socialdemokratiet ,2016- 
Lemvig ,Peder Dalgaard ,Frandsen ,Venstre ,1970-1984 
Lemvig ,Jens Kristian ,Skovmose ,Venstre ,1984-1997 
Lemvig ,Jørgen ,Nørby ,Venstre ,1998-2006 
Lemvig ,Erik ,Flyvholm ,Venstre ,2007- 
Lolland ,Stig ,Vestergaard ,Socialdemokratiet ,2007-2013 
Lolland ,Holger S. ,Rasmussen ,Socialdemokratiet ,2014- 
Lunderskov ,Holger D. ,Skrydstrup ,Lokalliste ,1970-1984 
Lunderskov ,Bent ,Bechmann ,Lokalliste ,1984-2001 
Lunderskov ,Hans Peter ,Andersen ,Venstre ,2002-2006 
Lundtoft ,Svend Aage ,Lauesgaard ,Lokalliste ,1970-1981 
Lundtoft ,Johs. ,Kristiansen ,Venstre ,1982-1985 
Lundtoft ,Martin Buus ,Madsen ,Det Konservative Folkeparti ,1986-1993 
Lundtoft ,Karen ,Andresen ,Venstre ,1994-1997 
Lundtoft ,Villy ,Jakobsen ,Socialdemokratiet ,1998-2001 
Lundtoft ,Hans Phillip ,Tietje ,Venstre ,2002-2006 
Lyngby-Taarbæk ,Paul ,Fenneberg ,Det Konservative Folkeparti ,1970-1973 
Lyngby-Taarbæk ,Ole ,Harkjær ,Det Konservative Folkeparti ,1973-1987 
Lyngby-Taarbæk ,Kai Aage ,Ørnskov ,Det Konservative Folkeparti ,1987-2001 
